from_state,to_state,count
P_D_PAS_DES,P_D_PAS_NEU,31
P_D_PAS_FAV,P_M_REC_FAV,31
P_D_PER_DES,P_A_FIN_DES,31
P_M_PAS_DES,P_D_PAS_NEU,31
P_M_PAS_DES,P_M_PAS_NEU,31
P_M_PER_NEU,P_A_PER_NEU,31
P_A_FIN_NEU,P_A_PER_DES,30
P_A_FIN_NEU,P_M_PAS_NEU,30
P_A_PAS_DES,P_A_PAS_FAV,30
P_D_PAS_FAV,P_D_REC_DES,30
P_D_PAS_NEU,P_D_PAS_DES,30
P_M_PER_DES,P_M_PER_NEU,30
P_A_PAS_FAV,P_A_PAS_DES,29
P_A_PER_DES,P_M_PER_NEU,29
P_A_PER_FAV,P_D_PER_NEU,29
P_A_FIN_DES,P_D_PER_NEU,28
P_A_REC_FAV,P_M_PAS_DES,28
P_D_PAS_NEU,P_M_PAS_DES,28
P_D_REC_DES,P_M_REC_DES,28
P_M_PER_DES,P_A_FIN_FAV,28
P_A_PER_DES,P_A_FIN_FAV,27
P_M_PAS_FAV,P_A_REC_FAV,27
P_M_REC_FAV,P_D_PAS_DES,27
P_A_FIN_NEU,P_D_PAS_NEU,26
P_A_PER_FAV,P_A_FIN_DES,26
P_D_PER_NEU,P_A_PAS_FAV,26
P_D_REC_DES,P_M_PAS_FAV,26
P_M_PAS_DES,P_M_PER_FAV,26
P_M_PAS_FAV,P_M_PER_DES,26
P_M_PER_NEU,P_M_REC_FAV,26
P_A_FIN_NEU,P_D_PAS_FAV,25
P_A_PAS_DES,P_A_PER_FAV,25
P_A_PAS_NEU,P_M_PAS_DES,25
P_D_PAS_DES,P_M_REC_FAV,25
P_D_PER_NEU,P_D_PER_NEU,25
P_M_PER_FAV,P_A_PER_NEU,25
P_M_PER_NEU,P_D_PER_NEU,25
P_M_PER_NEU,P_M_PER_DES,25
P_M_REC_FAV,P_D_PER_DES,25
P_A_FIN_NEU,P_A_PAS_NEU,24
P_A_PER_FAV,P_A_PER_NEU,24
P_A_PER_NEU,P_A_PER_FAV,24
P_A_REC_FAV,P_D_PAS_DES,24
P_A_REC_FAV,P_M_REC_FAV,24
P_D_PAS_DES,P_M_PAS_NEU,24
P_D_PAS_FAV,P_A_FIN_FAV,24
P_M_PAS_NEU,P_M_PAS_FAV,24
P_M_PAS_NEU,P_M_REC_NEU,24
P_A_PAS_DES,P_D_REC_FAV,23
P_A_PAS_FAV,P_M_REC_FAV,23
P_A_PER_FAV,P_A_REC_DES,23
P_D_PER_NEU,P_M_REC_DES,23
P_D_REC_DES,P_A_PER_DES,23
P_M_PAS_FAV,P_D_PAS_NEU,23
