from_state,to_state,probability
S_D_PER_DES,P_M_PER_FAV,0.028715
S_M_REC_NEU,P_M_PER_NEU,0.028708
S_A_REC_FAV,P_D_PER_FAV,0.028662
S_A_REC_DES,S_M_PER_DES,0.028571
P_A_PER_NEU,S_D_REC_NEU,0.028349
S_D_PER_DES,P_D_PAS_DES,0.028259
S_D_PER_DES,P_D_PAS_FAV,0.028259
P_A_PER_FAV,P_D_PAS_DES,0.028090
P_M_PER_NEU,P_M_PER_NEU,0.028000
P_A_PER_DES,P_D_PER_DES,0.027974
P_A_PER_NEU,P_D_REC_NEU,0.027892
P_A_PER_NEU,S_D_REC_DES,0.027892
P_D_PER_FAV,S_M_PER_DES,0.027891
S_D_PER_DES,P_M_PAS_NEU,0.027803
P_M_PER_DES,S_M_REC_FAV,0.027724
P_M_REC_DES,P_D_PAS_DES,0.027655
P_D_PER_DES,P_D_PAS_FAV,0.027501
P_D_PER_DES,P_D_REC_DES,0.027501
S_D_PER_FAV,P_M_REC_DES,0.027215
S_D_PER_DES,P_A_PER_FAV,0.026892
S_M_PAS_NEU,P_M_REC_DES,0.026882
S_M_PER_NEU,P_M_PER_DES,0.026798
S_D_REC_NEU,P_A_PAS_DES,0.026627
P_A_PER_NEU,P_D_REC_DES,0.026520
P_D_PER_FAV,P_M_PAS_DES,0.026481
S_D_REC_DES,P_A_REC_DES,0.026377
P_A_PER_NEU,S_D_PER_FAV,0.026063
P_D_PER_NEU,P_A_PAS_NEU,0.026009
P_D_PER_NEU,P_M_PER_NEU,0.026009
P_A_FIN_NEU,P_D_REC_FAV,0.025997
P_A_FIN_NEU,P_M_PAS_FAV,0.025997
P_M_REC_FAV,P_A_PER_FAV,0.025903
P_M_PER_FAV,S_M_PAS_FAV,0.025550
S_A_REC_FAV,P_A_PER_FAV,0.025478
S_A_REC_FAV,P_D_PAS_DES,0.025478
S_A_REC_FAV,P_M_PAS_FAV,0.025478
S_A_REC_FAV,S_M_PER_FAV,0.025478
S_M_PER_NEU,P_D_PER_FAV,0.025388
S_M_PER_NEU,P_D_REC_DES,0.025388
P_A_PER_DES,P_M_REC_DES,0.025359
P_D_PER_FAV,S_D_PER_FAV,0.025306
S_M_REC_DES,P_M_PER_DES,0.025298
S_D_PER_FAV,P_A_PAS_DES,0.025213
S_D_PAS_DES,S_A_PER_DES,0.024974
S_D_PER_NEU,P_A_PER_FAV,0.024961
S_D_PER_NEU,P_D_PAS_NEU,0.024961
P_A_FIN_DES,P_D_PER_NEU,0.024494
P_M_PER_FAV,P_M_PAS_DES,0.024443
P_M_PER_FAV,S_D_PAS_FAV,0.024355
P_D_PER_NEU,P_M_REC_FAV,0.024215
P_M_PER_FAV,P_A_REC_FAV,0.024133
S_M_PER_FAV,P_D_PER_FAV,0.023787
S_D_REC_NEU,P_A_REC_DES,0.023669
S_D_REC_NEU,P_D_PER_NEU,0.023669
S_D_PER_FAV,P_D_PER_FAV,0.023613
P_M_PER_NEU,S_D_REC_FAV,0.023500
S_A_PER_DES,P_A_PER_DES,0.023256
S_A_PER_DES,S_A_REC_DES,0.023256
P_D_PER_FAV,P_A_REC_FAV,0.023190
S_A_PER_NEU,P_A_PAS_NEU,0.022989
S_A_PER_NEU,P_D_PER_NEU,0.022989
S_A_PER_NEU,S_A_PER_NEU,0.022989
S_A_PER_NEU,S_A_REC_NEU,0.022989
P_M_PER_DES,S_D_PER_FAV,0.022980
S_M_PER_DES,P_M_PAS_NEU,0.022648
P_M_PER_FAV,P_D_PER_FAV,0.022539
P_A_FIN_NEU,P_M_PAS_NEU,0.022530
S_D_REC_DES,P_D_PER_DES,0.022498
P_M_REC_DES,P_A_PER_DES,0.022493
S_M_REC_DES,S_D_PAS_DES,0.022321
P_M_PER_NEU,P_D_PER_FAV,0.022000
P_M_PER_NEU,P_M_REC_DES,0.022000
P_M_REC_NEU,P_D_PAS_NEU,0.021924
P_D_REC_NEU,P_M_PER_NEU,0.021922
S_M_PAS_FAV,P_M_PAS_FAV,0.021869
S_D_PER_NEU,P_A_PAS_NEU,0.021841
P_M_PER_DES,S_D_REC_FAV,0.021794
S_A_PAS_FAV,P_D_PAS_FAV,0.021739
S_M_REC_FAV,P_M_PAS_DES,0.021599
P_M_PER_NEU,P_D_REC_DES,0.021500
P_A_FIN_DES,P_D_REC_FAV,0.021299
P_A_PER_DES,S_D_PAS_FAV,0.021176
P_A_FIN_FAV,P_M_PAS_DES,0.021129
P_M_PER_DES,S_M_REC_DES,0.020904
P_D_PER_FAV,P_D_PER_FAV,0.020762
P_M_PER_DES,P_A_REC_DES,0.020756
S_D_REC_NEU,S_M_PAS_NEU,0.020710
P_D_PER_DES,S_M_PAS_FAV,0.020691
P_D_PER_NEU,S_M_REC_FAV,0.020628
