from_id,to_id,kind,cause,is_restart,count
52,27,flip,restart_kickoff,True,204
35,27,intra,,False,203
69,15,flip,bad_pass,False,202
49,4,flip,dispossessed,False,201
68,33,flip,other,False,201
80,27,intra,,False,200
32,87,flip,pressure_loss,False,200
9,27,intra,,False,199
1,4,intra,,False,199
35,38,intra,,False,198
49,103,flip,pressure_loss,False,198
97,44,flip,interception,False,198
99,102,intra,,False,197
5,32,intra,,False,197
100,49,flip,ball_recovery,False,197
84,9,flip,ball_recovery,False,194
27,102,flip,other,False,194
63,74,intra,,False,194
49,51,intra,,False,193
15,17,intra,,False,193
15,38,flip,dispossessed,False,192
10,86,flip,other,False,191
92,91,intra,,False,190
84,80,intra,,False,190
80,33,flip,other,False,190
62,4,flip,other,False,189
103,50,flip,restart_throw_in,True,189
84,15,flip,clearance_conceded,False,188
26,80,flip,tackle,False,188
5,62,flip,pressure_loss,False,187
97,102,intra,,False,187
26,26,flip,tackle,False,187
49,5,flip,pressure_loss,False,186
21,39,intra,,False,186
80,26,flip,pressure_loss,False,186
12,62,flip,pressure_loss,False,185
84,43,flip,ball_recovery,False,183
46,97,flip,pressure_loss,False,183
4,56,flip,dispossessed,False,183
22,56,flip,other,False,182
29,102,flip,pressure_loss,False,182
32,86,flip,gk_action,False,181
74,5,flip,other,False,181
62,80,intra,,False,180
66,15,flip,clearance_conceded,False,180
14,68,flip,tackle,False,180
103,43,flip,ball_recovery,False,180
18,56,flip,pressure_loss,False,180
69,16,flip,restart_throw_in,True,179
16,21,flip,bad_pass,False,179
43,9,flip,interception,False,179
32,21,flip,interception,False,178
102,33,flip,other,False,177
100,44,flip,clearance_conceded,False,177
56,10,flip,other,False,177
9,43,flip,dispossessed,False,177
100,102,intra,,False,176
9,16,intra,,False,176
22,98,flip,bad_pass,False,175
5,74,flip,other,False,174
15,69,flip,pressure_loss,False,174
38,22,intra,,False,174
66,15,flip,ball_recovery,False,173
43,9,flip,dispossessed,False,173
27,68,flip,other,False,173
68,15,flip,dispossessed,False,172
31,86,flip,pressure_loss,False,172
102,97,intra,,False,171
44,4,intra,,False,171
68,14,flip,tackle,False,171
62,68,intra,,False,171
21,5,intra,,False,169
68,62,intra,,False,169
50,21,flip,bad_pass,False,169
62,15,flip,other,False,168
16,86,flip,gk_action,False,167
49,102,flip,pressure_loss,False,167
103,44,flip,bad_pass,False,167
100,44,flip,restart_throw_in,True,167
68,16,flip,interception,False,166
84,44,flip,clearance_conceded,False,165
43,50,intra,,False,164
97,26,flip,other,False,163
62,26,flip,other,False,163
83,69,intra,,False,163
38,91,flip,dispossessed,False,163
14,38,flip,pressure_loss,False,162
84,22,intra,,False,162
39,74,flip,other,False,162
102,22,intra,,False,159
56,5,flip,pressure_loss,False,159
66,10,flip,restart_throw_in,True,158
5,63,flip,bad_pass,False,157
10,68,flip,pressure_loss,False,157
102,50,flip,interception,False,156
49,34,intra,,False,156
80,62,intra,,False,154
87,27,flip,bad_pass,False,154
97,38,flip,other,False,154
35,74,flip,pressure_loss,False,154
49,84,flip,other,False,154
66,68,intra,,False,153
39,97,flip,pressure_loss,False,152
97,80,intra,,False,152
98,74,intra,,False,151
56,22,flip,other,False,151
98,44,flip,bad_pass,False,151
69,9,flip,ball_recovery,False,151
91,44,flip,other,False,150
102,48,flip,tackle,False,149
48,4,flip,pressure_loss,False,149
66,10,flip,clearance_conceded,False,149
87,74,intra,,False,148
15,68,flip,pressure_loss,False,148
39,98,flip,bad_pass,False,148
4,57,flip,other,False,148
57,74,intra,,False,148
81,91,intra,,False,147
102,32,flip,other,False,147
0,50,intra,,False,147
49,21,flip,ball_recovery,False,147
35,90,flip,pressure_loss,False,147
1,55,flip,pressure_loss,False,146
48,102,flip,tackle,False,146
80,97,intra,,False,146
97,43,flip,dispossessed,False,145
5,56,flip,pressure_loss,False,145
97,49,flip,other,False,144
22,91,flip,other,False,144
18,91,flip,pressure_loss,False,143
84,10,flip,clearance_conceded,False,142
87,32,flip,bad_pass,False,142
22,63,flip,bad_pass,False,142
56,55,intra,,False,141
15,21,flip,ball_recovery,False,140
102,43,flip,ball_recovery,False,140
32,15,intra,,False,139
81,27,flip,bad_pass,False,139
29,31,intra,,False,139
86,31,flip,other,False,138
68,9,flip,ball_recovery,False,138
100,43,flip,ball_recovery,False,137
32,100,flip,other,False,137
95,44,flip,clearance_conceded,False,137
68,17,flip,other,False,137
15,84,flip,other,False,136
9,0,intra,,False,136
38,92,flip,other,False,136
88,38,flip,pressure_loss,False,135
81,56,intra,,False,135
98,43,flip,ball_recovery,False,135
1,74,flip,pressure_loss,False,135
91,22,flip,other,False,134
63,9,flip,ball_recovery,False,134
102,4,intra,,False,133
9,43,flip,interception,False,132
32,49,intra,,False,132
84,100,intra,,False,132
87,26,flip,ball_recovery,False,132
102,49,flip,dispossessed,False,132
39,91,flip,pressure_loss,False,131
98,43,flip,other,False,131
102,44,flip,restart_throw_in,True,131
23,34,intra,,False,130
68,32,flip,other,False,130
44,80,flip,pressure_loss,False,130
69,10,flip,bad_pass,False,130
53,57,intra,,False,130
99,43,flip,pressure_loss,False,129
32,66,flip,other,False,129
81,26,flip,ball_recovery,False,129
15,39,flip,pressure_loss,False,129
43,26,intra,,False,128
31,21,flip,tackle,False,128
80,86,intra,,False,128
32,69,flip,other,False,128
0,16,intra,,False,127
43,49,intra,,False,127
75,74,intra,,False,127
83,103,intra,,False,127
91,39,flip,pressure_loss,False,126
15,34,intra,,False,126
6,86,flip,pressure_loss,False,126
9,15,intra,,False,126
14,38,flip,tackle,False,126
97,26,flip,ball_recovery,False,124
0,44,intra,,False,123
43,98,flip,interception,False,123
32,21,flip,dispossessed,False,123
65,63,intra,,False,123
16,86,flip,bad_pass,False,123
99,98,intra,,False,122
43,0,intra,,False,122
53,4,flip,pressure_loss,False,122
92,74,intra,,False,122
80,27,flip,interception,False,121
65,9,flip,pressure_loss,False,121
50,86,flip,gk_action,False,121
68,38,intra,,False,120
40,86,flip,pressure_loss,False,120
4,56,flip,pressure_loss,False,120
68,22,intra,,False,120
74,19,flip,other,False,119
102,100,intra,,False,119
78,27,flip,clearance_conceded,False,119
66,9,flip,ball_recovery,False,119
84,4,intra,,False,119
15,66,flip,miscontrol,False,119
103,49,flip,other,False,119
33,102,flip,other,False,118
15,62,flip,other,False,118
16,21,flip,ball_recovery,False,118
62,43,intra,,False,118
102,51,flip,other,False,118
62,9,flip,dispossessed,False,117
43,39,intra,,False,117
25,80,flip,pressure_loss,False,117
97,9,intra,,False,117
88,92,intra,,False,117
91,90,intra,,False,117
86,31,flip,tackle,False,117
80,9,flip,ball_recovery,False,117
102,49,flip,interception,False,116
22,27,flip,bad_pass,False,116
39,80,flip,other,False,115
62,26,flip,ball_recovery,False,115
86,16,flip,restart_throw_in,True,115
26,26,flip,dispossessed,False,114
95,97,intra,,False,114
32,86,flip,pressure_loss,False,114
26,43,intra,,False,114
49,32,intra,,False,114
74,22,flip,pressure_loss,False,114
68,34,flip,other,False,114
63,10,flip,bad_pass,False,113
15,0,intra,,False,113
48,4,flip,tackle,False,113
80,21,flip,other,False,113
9,26,intra,,False,113
49,97,flip,other,False,112
60,10,flip,clearance_conceded,False,112
6,56,flip,pressure_loss,False,112
100,50,flip,clearance_conceded,False,112
44,103,flip,bad_pass,False,112
97,38,flip,ball_recovery,False,112
86,26,flip,ball_recovery,False,112
84,38,intra,,False,112
49,100,flip,miscontrol,False,112
80,43,flip,ball_recovery,False,112
97,50,flip,restart_throw_in,True,112
50,100,flip,bad_pass,False,112
50,86,flip,bad_pass,False,112
83,81,intra,,False,111
9,44,flip,miscontrol,False,111
86,4,intra,,False,111
5,80,flip,other,False,110
26,22,intra,,False,110
38,91,flip,pressure_loss,False,110
10,63,flip,bad_pass,False,110
16,86,flip,pressure_loss,False,110
86,50,flip,restart_throw_in,True,110
68,10,flip,restart_throw_in,True,110
50,21,flip,ball_recovery,False,109
10,80,flip,pressure_loss,False,109
32,103,flip,other,False,108
43,103,flip,other,False,108
4,50,flip,restart_throw_in,True,108
26,26,flip,interception,False,107
49,0,intra,,False,107
32,86,flip,miscontrol,False,107
44,98,flip,bad_pass,False,107
49,44,intra,,False,107
62,4,flip,ball_recovery,False,107
43,10,flip,miscontrol,False,107
32,4,flip,ball_recovery,False,106
18,21,intra,,False,106
43,80,flip,other,False,106
86,33,flip,interception,False,106
33,68,flip,other,False,106
32,68,flip,ball_recovery,False,106
102,52,intra,,False,106
103,43,flip,other,False,106
16,86,flip,ball_recovery,False,105
16,66,flip,bad_pass,False,105
66,62,intra,,False,105
15,32,intra,,False,104
27,97,flip,pressure_loss,False,104
10,43,flip,ball_recovery,False,104
100,50,flip,restart_corner,True,104
74,27,flip,other,False,104
21,74,flip,pressure_loss,False,103
16,62,flip,other,False,103
43,5,flip,restart_throw_in,True,103
32,22,flip,miscontrol,False,103
43,5,flip,other,False,102
32,38,flip,ball_recovery,False,102
49,43,intra,,False,102
15,44,flip,restart_throw_in,True,102
26,9,intra,,False,102
42,96,flip,other,False,102
9,5,intra,,False,102
80,24,flip,pressure_loss,False,102
48,101,flip,other,False,101
18,73,flip,pressure_loss,False,101
22,10,flip,restart_throw_in,True,101
69,15,flip,other,False,101
50,97,flip,other,False,100
8,61,flip,other,False,100
100,97,intra,,False,100
84,103,intra,,False,100
10,44,flip,restart_throw_in,True,99
74,21,flip,interception,False,99
103,49,flip,ball_recovery,False,99
44,10,flip,bad_pass,False,99
49,5,flip,miscontrol,False,99
14,67,flip,other,False,99
43,102,flip,other,False,99
95,43,flip,clearance_conceded,False,99
50,86,flip,ball_recovery,False,98
15,10,intra,,False,98
26,62,flip,other,False,98
22,44,flip,restart_throw_in,True,98
56,21,flip,other,False,97
5,44,flip,restart_throw_in,True,97
26,32,intra,,False,97
68,32,flip,ball_recovery,False,96
56,2,flip,other,False,96
102,32,flip,ball_recovery,False,96
38,16,flip,restart_throw_in,True,96
40,91,flip,pressure_loss,False,95
50,86,flip,pressure_loss,False,95
95,43,flip,ball_recovery,False,95
49,103,flip,interception,False,95
83,86,intra,,False,95
87,56,intra,,False,95
60,9,flip,ball_recovery,False,94
9,69,flip,other,False,94
52,50,flip,restart_throw_in,True,94
44,84,flip,bad_pass,False,94
22,78,flip,bad_pass,False,94
103,44,flip,restart_throw_in,True,94
97,41,flip,pressure_loss,False,94
86,80,intra,,False,94
56,4,flip,interception,False,94
3,56,flip,pressure_loss,False,94
32,102,flip,ball_recovery,False,93
69,56,intra,,False,93
15,87,flip,other,False,93
49,102,flip,miscontrol,False,93
62,16,flip,restart_throw_in,True,93
56,22,flip,restart_goal_kick,True,92
49,87,flip,other,False,92
22,10,flip,bad_pass,False,92
43,4,flip,ball_recovery,False,92
80,26,flip,dispossessed,False,92
84,26,flip,clearance_conceded,False,92
98,102,intra,,False,92
62,56,intra,,False,92
102,34,flip,other,False,92
69,10,flip,restart_throw_in,True,92
31,86,flip,tackle,False,92
99,87,intra,,False,92
9,39,flip,other,False,91
60,9,flip,clearance_conceded,False,91
84,69,intra,,False,90
26,81,flip,interception,False,90
56,62,intra,,False,90
40,49,intra,,False,90
68,66,intra,,False,89
15,86,flip,ball_recovery,False,89
69,15,flip,ball_recovery,False,89
